```
"48532.628796,0.0,7.0,This is a sample comment."
"36079.44834 ,2.0,21.0,This is a sample comment."
"59132.964557,1.0,4.0,NaN"
"51767.844202,1.0,5.0,NaN"
"29295.379256,0.0,15.0,This is a sample comment."
"68267.288772,0.0,1.0,NaN"
"73013.899047,0.0,3.0,NaN"
"64423.228654,0.0,23.0,This is a sample comment."
"33401.412149,0.0,17.0,NaN"
"32494.282533,0.0,10.0,NaN"
"54535.939127,0.0,9.0,This is a sample comment."
"33968.224721,2.0,16.0,This is a sample comment."
"52334.061519,0.0,8.0,NaN"
"69591.954662,0.0,7.0,NaN"
"46056.43814 ,0.0,20.0,NaN"
"28896.376386,1.0,20.0,This is a sample comment."
"50632.976562,0.0,11.0,This is a sample comment."
"67371.577377,0.0,19.0,This is a sample comment."
"70881.503952,0.0,23.0,NaN"
"43940.713363,1.0,14.0,NaN"
"30394.037694,1.0,2.0,This is a sample comment."
"63559.094436,0.0,17.0,NaN"
"68217.166653,0.0,15.0,NaN"
"47092.876443,0.0,1.0,NaN"
"60776.265494,2.0,5.0,NaN"
"37609.172092,0.0,22.0,NaN"
"34521.138322,1.0,1.0,NaN"
"56861.377076,0.0,6.0,This is a sample comment."
"37548.276659,0.0,18.0,NaN"
"61574.395982,2.0,11.0,This is a sample comment."
"64236.136963,0.0,1.0,NaN"
"44624.415316,0.0,12.0,NaN"
"65312.858622,0.0,6.0,NaN"
"37908.860978,0.0,8.0,NaN"
"68594.782581,1.0,13.0,NaN"
"53835.36162 ,0.0,14.0,NaN"
"61414.787757,1.0,1.0,This is a sample comment."
"38417.921514,0.0,7.0,This is a sample comment."
"50056.000435,0.0,2.0,NaN"
"30274.702182,0.0,10.0,NaN"
"53681.17237 ,1.0,12.0,This is a sample comment."
"38096.078169,0.0,1.0,NaN"
"39789.507477,0.0,7.0,NaN"
"76161.849339,0.0,23.0,NaN"
"34878.176218,0.0,12.0,NaN"
"46006.50676 ,1.0,18.0,This is a sample comment."
"28068.059291,0.0,21.0,NaN"
"51752.829318,0.0,15.0,NaN"
"42225.285638,1.0,7.0,NaN"
"62749.764018,0.0,23.0,NaN"
"71537.619828,0.0,1.0,NaN"
"79041.336562,0.0,17.0,NaN"
"30654.106913,0.0,4.0,NaN"
"70470.107347,0.0,12.0,NaN"
"67134.642608,0.0,21.0,NaN"
"55300.270579,0.0,17.0,NaN"
"45870.425236,0.0,11.0,NaN"
"34132.703797,0.0,22.0,NaN"
"79020.549513,0.0,20.0,NaN"
"57933.880298,2.0,6.0,This is a sample comment."
"42610.139454,1.0,14.0,NaN"
"44050.07783 ,0.0,8.0,This is a sample comment."
"27594.370466,2.0,2.0,NaN"
"55284.255036,0.0,4.0,NaN"
"33333.243141,0.0,16.0,This is a sample comment."
"49085.430612,0.0,21.0,NaN"
"64627.398113,0.0,18.0,NaN"
"53708.345937,1.0,21.0,This is a sample comment."
"59917.440161,2.0,13.0,This is a sample comment."
"38695.322483,1.0,10.0,NaN"
"64850.954275,0.0,16.0,NaN"
"55231.891137,0.0,3.0,NaN"
"33579.456357,0.0,2.0,NaN"
"59959.848917,1.0,5.0,NaN"
"48662.713964,0.0,10.0,NaN"
"60673.415849,0.0,11.0,NaN"
"28054.645742,0.0,23.0,NaN"
"44173.788971,0.0,8.0,NaN"
"42628.162084,1.0,16.0,NaN"
"65985.216847,0.0,1.0,NaN"
"44165.548861,0.0,15.0,NaN"
"66403.569835,0.0"
